ce_annual_ndx,meter_test_program,awwa_policy_adherence,non_awwa_test_procedures,astest_largemeters_describe,time_between_tests_largemeters_years,replace_age_small_meters_years,water_loss_comments,leak_detection_field_technology,pctannual_leak_inspection,pctannual_pipe_replaces,leak_detection_comments
2054,YES,YES,"",We test our large meters on a state certified test bench or in the field with a portable meter tester per AWWA and manufacturer guidelines. ,5,15,"",We use acoustic monitoring on hydrants and we have used Smart Ball free floating leak detection technology on a large section of one of our main transmission lines,3.7998,1.78648,""
2056,YES,YES,"",No,,,2015 water loss appears to have high error. Suspect plant metering became inaccurate starting in 2014,"Listening equipment, annual audits of production and consumption, AMR data evaluated weekly",1,0.4,2015 water loss appears to have high error. Plant metering issues are suspected to have become inaccurate starting in 2014
2057,YES,NO,Testing program done annually as specified in water court decree,Meter testing selects meters randomly unless customer specifically requests for billing data confirms errors,10,10,"unless tested randomly, the only cause for meter test is either from meter reading problem or customer complaints",leak detection program not budgeted for in 2015,0,0,""
2058,YES,NO,Large meters tested every 7 years; small meters replaced every 10 years.,They are sent to the distributor for testing,7,10,"",,,,
2059,YES,YES,"","Yes. Denver Water periodically tests 1.5"" meters and larger. Denver Water performs a ""measuring element exchange"". Denver Water only field tests when needed or no other option exists.",15,,"",,,,
2060,YES,YES,"",Large meters are degined as those greater than 1 inch,5,10,The active use of accounting methods involves analysis of our system production and water billed comparison to find regions of the system that may have unusual unaccounted for losses.,Electronic leak surveys were performed and a survey with a broad band accelerometer to detect vibrations indicative of pressurized leakage.,20,2,The active use of accounting methods involves analysis of our system production and water billed comparison to find regions of the system that may have unusual unaccounted for losses.
2061,YES,YES,"",3 inch and larger meters are compared against calibrated meter.,2,15,See the Meter Test and Replacement.pdf,Neptune Permalog device,0,0.2,Refer to the Leak Detection.pdf attachment
2063,YES,NO,PWSD tests meters that have been identified by low to no usage once per month if customer is home and should be using water.,PWSD sends these meters to Denver Water or National Meter,,,"",Noise loggers ,0,0,""
2064,YES,YES,"","Yes, meter testing is performed on a test bench or from a testing trailer. AWWA guidelines are used for testing flow rates.",1,,"10"", 8"" and 6"" meters are tested annually. 4"" meters are tested every 2 years. 3"" meters are tested every 3 years. 2"" and 1.5"" meters are tested every 4 years. Repair and replacement as needed.","Methods of detecting leaks include using SCADA, GIS and field observations. Contractor leak technology used if necessary.",1,1,"Our calculated system loss remains under 10%. Strategy for replacing aprox. 2,400 feet of pipe annually based on a condition assessment. 1% of system above refers to transmission mains 16"" and larger."
2065,YES,YES,"",Meters removed to test bench.,2,15,"",,,,
2066,YES,NO,"As meters fail, they are replaced with next generation technology. A customer complaint can generate a test of that meter but it is not a system wide-regularly scheduled method",Only when in doubt about readings. High/Low readings can be flagged by the billing system as they are read or a customer complaint can warrant further inspection of that meter.,,0,Most of our smaller meters were replaced 10-12 years ago. We are replacing these as they fail with the latest technology from our vendor.,visual observation and high/low alerts from the billing system as readings are taken and processed,75,2,Our SCADA system has proven to be a valuable tool in determining that there could be a leak in a particular tank zone
2067,NO ,N/A,"",,,,,,,,SYSTEM LOSS AND LEAK DETECTION DATA NOT YET SET UP
2068,YES,YES,"","Yes, send to private tester",4,12,"",,,,
2069,YES,YES,"",No,,,2014 water loss appears to have high error. Suspect plant metering became inaccurate during this time,"Listening equipment, annual audits of production and consumption, AMR data evaluated weekly",1,0.4,2014 water loss appears to have high error. Plant metering issues are suspected to have become inaccurate starting in 2014
2070,YES,YES,"","When there is a zero read/non-register or similar issue, meter test tech, repair and/or replace the large meter",0,10,"Virtually all <1"" meters replaced in 2012 for the AMR roll out",Acoustic and visual methods,1,2,Run the AWWA too ~3x per year to identify potential leaks.  Respond to potential issues as they come up.
2071,YES,YES,"","3"" and over tested annually. 1.5"" and 2"" tested every five years.",3,20,"","Badger Perma Loggers, FCS Patroller, and Archer Handheld Units",6.5,1,""
2072,NO ,N/A,"",no,,,large meters are replaced when meter shows signs of inaccuracy,Report and fix leaks as they become apparent ,0,0,""
2073,YES,YES,"",Annual series testing with calibrated meter,1,20,"All meters less than 1"" have been tested every 10 years or replaced","Listening devices, cameras, meter reads and meter leak detection",0,0,""
2074,YES,YES,"","Colorado Springs Utilities operates several testing benches capable of testing meters up to 6"" in size.  For meters larger than 6"" and up to 10"", we send those to National Meter in Denver, CO for testing.  Mete",10,10,"",Detection and pinpointing of identified leaks performed by means of actively listening on system appurtenances with leak noise data loggers and conducting leak noise correlations on pipeline segments,7,0.25,""
2075,YES,YES,"","In-house meter tests conducted up to 2"" using Low, Med, and High flow tests conducted. Greater than 2"" meters are outsourced to 3rd party for testing.",2,10,"",Sounding System using aqua-scope leak detectors & twice annually using a 3rd party company. Other technology used; subsurface leak noise correlators and portable colorimeters used to determine source of surface,95,1,""
2076,YES,YES,"",contract out testing of largest meters,5,10,"",LC2500 and leak correlators,15,1,""
2077,NO ,N/A,"","Yes, tested in-house on meter calibration bench",0.5,10,"",hydrophonic correlation,25,0.6,""
2078,NO ,N/A,"",No,,15,"15 years for residential, large meters are replaced based on historical data",Listening devices,0,1,Monthly review of meter readings looking for abnormally high reads. Meter reading software also flags high reads
2079,YES,YES,"",yes,2,10,"","Sonic, hydrosonic, visual",20,5,""
2080,YES,YES,"","In-house meter tests conducted up to 2"" using Low, Med, and High flow tests conducted. Greater than 2"" meters are outsourced to 3rd party for testing.",2,10,"",Sounding System using aqua-scope leak detectors & twice annually using a 3rd party company. Other technology used; subsurface leak noise correlators and portable colorimeters used to determine source of surface,95,1,""
2081,YES,YES,"",yes,4,10,"",Metrotech Metrolog 7000,100,1,""
2082,YES,NO,"","",,,Sensus AMI and Master meter comparion to what is delivered vs. what is billed.,,,,
2085,YES,YES,"",Yes,5,25,"",Sound,2,2,""
2086,NO ,N/A,"",,,,,Sound,2,2,SYSTEM LOSS AND LEAK DETECTION DATA NOT YET SET UP
2087,YES,NO,Ramping up to meet AWWA testing schedule as we add staff and a new test bench,Test bench,3,10,Largest meters testing: 1.5”& 2” are between 3-5 years depending on disc vs. turbine. This can be extended if data and history are showing accuracy longer than typical schedules.,"Gutermann. Fixed Network that reads 37 correlators. Real time survey. 20 lift and shift correlators, Ground Mic",10,0.5,""
2088,YES,YES,"",Development of formal meter testing program currently in progress.Sent 50 meters to Ft Collins for bench testing in 2016 as part of large meter audit.3 of these were sent  due to disputes.,,,Formal replacement/repair schedule and formal testing program is being developed.No average time between tests or replacement age.,Acoustic leak detection,33,0.001,"Town has 331.25 mi active water line,30.1 mi active raw water line,15.6 mi active reclaimed line"
2089,YES,NO,"Test as needed based on usage, customer request, or AMR data",Yes- by contract with Ute Mountain Tribe,2,10,"","visual, water loss-increased flows from water plant, citizen reports",70,2,""
2091,YES,YES,"",Bench Test,8,10,"",Audio and Visual,10,0,""
2092,YES,YES,"",Bench Test,8,10,"",Customer reporting,0,0,""
2093,NO ,N/A,"",no,,15,replaced in 2005,,,,
2095,NO ,N/A,"","",,10,"",Leak detection equipment,0,0,The District contracted with Advance Leak Analysis & Solution to survey the District's entire distribution system. Most leaks customer related. Completed 2009-2011. No further testing done.
2100,NO ,N/A,"",,,,,,,,SYSTEM LOSS AND LEAK DETECTION DATA NOT YET SET UP
2110,YES,YES,"",We test our large meters on a state certified test bench or in the field with a portable meter tester per AWWA and manufacturer guidelines. ,5,15,"",We use acoustic monitoring on hydrants and we have used Smart Ball free floating leak detection technology on a large section of one of our main transmission lines,3.7998,1.78648,""
