DIV,WD,County,State,Station Name,DWR Abbrev,USGS Station ID,Data Source,Status,POR Start,POR End,UTM X,UTM Y,Location Accuracy,More Information,Location,Latitude,Longitude
2,79,,CO,SPANISH PEAKS JV RECHARGE POND,SPJVRPCO,,DWR,Active,2018,2018,502843,4177089,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8375&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=SPJVRPCO,"(37.741085, -104.967732)",37.741085,-104.967732
2,79,,CO,SPANISH PEAKS JV RETURN FLOW,SPJVRFCO,,DWR,Active,2018,2018,502864,4177096,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8376&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=SPJVRFCO,"(37.741148, -104.967493)",37.741148,-104.967493
2,16,,CO,CUCHARAS RIVER AT HIGHWAY 10,CRHW10CO,,DWR,Active,2018,2018,530682,4170467,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8386&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CRHW10CO,"(37.68089, -104.652039)",37.68089,-104.652039
2,79,,CO,HUERFANO RIVER AT I-25,HUEI25CO,,DWR,Active,2018,2018,514427,4178662,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8387&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=HUEI25CO,"(37.755154, -104.836221)",37.755154,-104.836221
1,7,,CO,LEE AND BAUGH DITCH,LEEBAUCO,,DWR,Active,2018,2018,487870,4402698,GPS,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8391&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=LEEBAUCO,"(39.774131, -105.141639)",39.774131,-105.141639
1,7,,CO,COORS AUG STATION NO 1,CRSAS1CO,,DWR,Active,2018,2018,485824,4402428,GPS,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8393&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CRSAS1CO,"(39.771673, -105.165534)",39.771673,-105.165534
1,2,,CO,CCWCD GODFREY DITCH AUG RETURN,CENGODCO,,DWR,Active,2018,2018,524541,4467141,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8395&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CENGODCO,"(40.354475, -104.711009)",40.354475,-104.711009
2,67,,CO,"ARF HEADGATE 201E (WILEY DRAIN, WEST)",ARF201CO,,DWR,Active,2018,2018,693950,4234520,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8397&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARF201CO,"(38.237781, -102.783891)",38.237781,-102.783891
2,67,,CO,"ARF HEADGATE 205 (WILEY DRAIN, EAST)",ARF205CO,,DWR,Active,2018,2018,696576,4234583,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8398&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARF205CO,"(38.237778, -102.753889)",38.237778,-102.753889
1,2,,CO,WELD COUNTY AUG RETURN,WELDCOCO,,DWR,Active,2018,2018,514954,4441529,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8495&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=WELDCOCO,"(40.123953, -104.824504)",40.123953,-104.824504
1,4,,CO,CCWCD BIG T AND PLATTE RIVER DITCH AUG RETURN,CNBTPRCO,,DWR,Active,2018,2018,512876,4464980,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8496&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CNBTPRCO,"(40.335267, -104.848422)",40.335267,-104.848422
1,6,,CO,IDAHO CREEK DIVERSION FROM BOULDER CREEK,IDACRKCO,,DWR,Active,2018,2018,496878,4439882,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8497&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=IDACRKCO,"(40.109242, -105.036643)",40.109242,-105.036643
1,3,,CO,CCWCD JONES DITCH AUG RETURN,CENJNZCO,,DWR,Active,2018,2018,514226,4477074,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8498&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CENJNZCO,"(40.444202, -104.832259)",40.444202,-104.832259
,31,,CO,"LOS PINOS R ABV VALLECITO RES NR BAYFIELD, CO",,9352800,USGS,Historic,2018,2018,277570,4143846,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8508&sfType=StreamFlow&freq=Monthly&sTab=1&sValue=09352800,"(37.414724, -107.513389)",37.414724,-107.513389
2,67,,CO,ARF HEADGATE 201E (WILEY DRAIN WEST OUTLET),AR201WCO,,DWR,Active,2018,2018,695148,4234885,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8512&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=AR201WCO,"(38.240809, -102.770111)",38.240809,-102.770111
2,67,,CO,ARF HEADGATE 205 (WILEY DRAIN EAST OUTLET),AR205ECO,,DWR,Active,2018,2018,695585,4234224,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8513&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=AR205ECO,"(38.234761, -102.765303)",38.234761,-102.765303
1,2,,CO,KOENIG RESERVOIR INLET,CENKNGCO,,DWR,Active,2018,2018,514464,4442333,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8518&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CENKNGCO,"(40.131205, -104.830237)",40.131205,-104.830237
2,79,,CO,MARTIN DITCH (SPANISH PEAKS JV),MARDITCO,,DWR,Active,2018,2018,49967,4175724,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8522&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=MARDITCO,"(37.618473, -110.097785)",37.618473,-110.097785
1,6,,CO,GODDING - HIGHLAND SOUTH SIDE DIVERSION,GODHSSCO,,DWR,Active,2018,2018,498783,4441490,Digitized off map,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8523&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=GODHSSCO,"(40.123734, -105.014293)",40.123734,-105.014293
,10,,CO,"PINE CREEK ABV BRIARGATE PKWY,ABV COLO SPRINGS, CO",,7103965,USGS,Historic,2018,2018,517845,4313191,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8524&sfType=StreamFlow&freq=Monthly&sTab=1&sValue=07103965,"(38.967503, -104.794017)",38.967503,-104.794017
,0,,CO,"GUNNISON RIVER AT CNTY RD 32 BELOW GUNNISON, CO",,3.83103E+14,USGS,Historic,2017,2018,326035,4265095,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8525&sfType=StreamFlow&freq=Monthly&sTab=1&sValue=383103106594200,"(38.517256, -106.99545)",38.517256,-106.99545
,10,,CO,"COTTONWOOD CK AT UNION BLVD, AT COLO SPRINGS, CO",,7103987,USGS,Historic,2018,2018,519403,4309073,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=8583&sfType=StreamFlow&freq=Monthly&sTab=1&sValue=07103987,"(38.930361, -104.77615)",38.930361,-104.77615
4,40,GUNNISON,CO,"ANTHRACITE CREEK NEAR FLORESTA, CO",ANTFLOCO,,DWR,Historic,1941,1958,312696.3,4304318,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1575&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ANTFLOCO,"(38.867769, -107.158944)",38.867769,-107.158944
1,7,CLEAR CREEK,CO,AUGUST P. GUMLICK TUNNEL NEAR JONES PASS,APGTUNCO,,DWR,Historic,1940,1999,427081.5,4402605.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1576&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=APGTUNCO,"(39.770261, -105.851398)",39.770261,-105.851398
2,17,CROWLEY,CO,ARKANSAS RIVER AND CATLIN CANAL (COMBINED),ARKCACCO,,DWR,Historic,1990,2017,595369.8,4220336.1,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1577&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ARKCACCO,"(38.125836, -103.911904)",38.125836,-103.911904
1,8,DOUGLAS,CO,"AUR RAM INTAKE @ 10"" VENTURI AB AUR",AURAM2CO,,DWR,Historic,1967,1968,494216.6,4366716.7,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1578&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=AURAM2CO,"(39.449991, -105.067217)",39.449991,-105.067217
1,8,DOUGLAS,CO,AURORA RAMPART RESERVOIR,AURRAMCO,,DWR,Historic,1967,1968,494360.6,4366715.7,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1579&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=AURRAMCO,"(39.449983, -105.065544)",39.449983,-105.065544
1,6,BOULDER,CO,BOULDER CREEK SUPPLY CANAL TO BOULDER CREEK NEAR BOULDER,BCSCBCCO,,NCWCD,Active,1954,2018,483534.2,4433661.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1580&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BCSCBCCO,"(40.053035, -105.193048)",40.053035,-105.193048
1,5,BOULDER,CO,BEAVER CREEK ABOVE BEAVER CREEK RESERVOIR,BEAVERCO,,DWR,Historic,1992,2008,455499,4440834.9,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1581&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BEAVERCO,"(40.116649, -105.522224)",40.116649,-105.522224
1,5,BOULDER,CO,BOULDER FEEDER CANAL TO LEFTHAND CREEK,BFCLHCCO,,DWR,Historic,1954,1999,481202.2,4439278.7,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1582&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BFCLHCCO,"(40.103595, -105.220552)",40.103595,-105.220552
1,5,BOULDER,CO,BOULDER CREEK FEEDER CANAL NEAR LYONS,BFCLYOCO,,NWCOP,Active,1954,2018,478074.5,478074.5,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1583&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BFCLYOCO,"(4.325182, -105.197598)",4.325182,-105.197598
7,29,ARCHULETA,CO,BLANCO DIVERSION NEAR PAGOSA SPRINGS,BLADIVCO,,DWR,Active,1991,2018,339268.8,4118992,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1585&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BLADIVCO,"(37.203577, -106.811221)",37.203577,-106.811221
1,6,BOULDER,CO,SOUTH BOULDER CREEK BELOW GROSS RESERVOIR,BOCBGRCO,6729450,DWR,Active,1967,2018,470276.8,4420971.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1586&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BOCBGRCO,"(39.938351, -105.347906)",39.938351,-105.347906
1,6,BOULDER,CO,"SOUTH BOULDER CREEK NEAR ELDORADO SPRINGS, CO.",BOCELSCO,6729500,DWR,Active,1896,2018,473940.9,4420209,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1587&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BOCELSCO,"(39.931597, -105.30499)",39.931597,-105.30499
1,6,BOULDER,CO,"LOWER BOULDER DITCH NEAR BOULDER, CO.",BODITLCO,,DWR,Historic,1962,1990,489054.3,4432942.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1588&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BODITLCO,"(40.046647, -105.128318)",40.046647,-105.128318
1,23,PARK,CO,BOREAS PASS DITCH AT BOREAS PASS,BORDITCO,9046000,DWR,Active,1932,2018,416655.6,4362810,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1589&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BORDITCO,"(39.410787, -105.968118)",39.410787,-105.968118
1,6,BOULDER,CO,SOUTH BOULDER CREEK DIVERSION NEAR ELDORADO SPRINGS,BOSDELCO,,DWR,Active,1958,2018,473647,4420234,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1590&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BOSDELCO,"(39.931813, -105.308432)",39.931813,-105.308432
2,11,LAKE,CO,CHARLES H. BOUSTEAD TUNNEL,BOUTUNCO,9077160,DWR,Active,1971,2018,376070.2,4348553.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1591&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BOUTUNCO,"(39.277492, -106.436808)",39.277492,-106.436808
1,1,,CO,"BOX ELDER CREEK NEAR HUDSON, CO",BOXHUDCO,,DWR,Historic,1942,1944,,,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1592&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BOXHUDCO,,,
2,11,LAKE,CO,BUSK-IVANHOE TUNNEL,BUSTUNCO,9077500,DWR,Active,1948,2018,373104.1,4345358,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1593&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=BUSTUNCO,"(39.248273, -106.470582)",39.248273,-106.470582
1,7,CLEAR CREEK,CO,"S. CLEAR CREEK AT CABIN CREEK OUTLET, CO",CABCRECO,,DWR,Historic,1967,1968,439374.5,4389518.2,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1594&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CABCRECO,"(39.653314, -105.706671)",39.653314,-105.706671
2,17,OTERO,CO,"CROOKED ARROYO NEAR SWINK, CO.",CANSWKCO,7122400,DWR,Active,1968,2018,623099.7,4204770.3,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1595&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CANSWKCO,"(37.982231, -103.598282)",37.982231,-103.598282
1,48,LARIMER,CO,CAMERON PASS DITCH NEAR CAMERON PASS,CAPDCPCO,,DWR,Historic,1931,2017,425295.9,4486401.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1596&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CAPDCPCO,"(40.524983, -105.881954)",40.524983,-105.881954
7,30,GARFIELD,CO,"CASCADE CREEK NEAR TACOMA, CO",CASTACCO,,DWR,Historic,1935,1940,323659.9,4435352.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1597&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CASTACCO,"(40.049984, -107.067277)",40.049984,-107.067277
2,17,OTERO,CO,CATLIN CANAL AT CATLIN DAM NEAR FOWLER,CATCANCO,7119705,DWR,Active,1979,2018,595359.5,4220164,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1598&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CATCANCO,"(38.124293, -103.912049)",38.124293,-103.912049
3,20,ALAMOSA,CO,CLOSED BASIN PROJECT CANAL NEAR ALAMOSA,CBPALACO,3.72833E+14,DWR,Active,1988,2018,432166.8,4147926.3,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1599&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CBPALACO,"(37.475744, -105.767184)",37.475744,-105.767184
2,11,CHAFFEE,CO,CLEAR CREEK BELOW CLEAR CREEK RESERVOIR,CCBCCRCO,,DWR,Active,1953,2018,392434.8,4319967.5,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1600&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CCBCCRCO,"(39.022147, -106.242586)",39.022147,-106.242586
7,33,LA PLATA,CO,CHERRY CREEK AT THE MOUTH NEAR RED MESA,CHEREDCO,,DWR,Active,1988,2018,215801.9,4112749.5,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1601&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CHEREDCO,"(37.117982, -108.198599)",37.117982,-108.198599
1,3,LARIMER,CO,FT. COL. CA. AT CACHE LA POUDRE R. NR.,CLACANCO,,DWR,Historic,1963,1986,479093.1,4505698.3,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1602&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CLACANCO,"(40.701926, -105.24748)",40.701926,-105.24748
1,3,WELD,CO,CACHE LA POUDRE RIVER AT KODAK NEAR WINDSOR,CLAKODCO,,DWR,Historic,1971,1983,509825,4476937.8,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1603&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CLAKODCO,"(40.443032, -104.884147)",40.443032,-104.884147
5,45,MESA,CO,"CLEAR FORK FEEDER DITCH NEAR CLEAR FORK, CO",CLFOFDCO,,DWR,Active,1939,2018,290439.8,4348685.8,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1604&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CLFOFDCO,"(39.262199, -107.428938)",39.262199,-107.428938
2,11,CHAFFEE,CO,COTTONWOOD CREEK NEAR BUENA VISTA,COCRBVCO,7089250,DWR,Active,1970,2018,402539.6,4299331.5,GPS,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1605&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=COCRBVCO,"(38.837407, -106.12294)",38.837407,-106.12294
5,38,PITKIN,CO,MIDDLE CUNNINGHAM CREEK FEEDER CANAL NR.,CUNCANCO,,DWR,Historic,1978,1979,366207.9,4354391,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1607&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=CUNCANCO,"(39.328596, -106.552258)",39.328596,-106.552258
1,76,LARIMER,CO,DEADMAN DITCH NEAR DEADMAN PARK,DEADDPCO,,DWR,Historic,1934,2017,432223.7,4520872.7,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1608&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DEADDPCO,"(40.83609, -105.803895)",40.83609,-105.803895
3,20,HINSDALE,CO,"DEL NORTE IRRIGATION DISTRICT DITCH, CO",DELDITCO,,DWR,Historic,1932,1937,304241.3,4163809,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1609&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DELDITCO,"(37.600552, -107.217548)",37.600552,-107.217548
7,78,MINERAL,CO,DON LA FONT DITCH NO. 1 AT PIEDRA PASS,DLFDT1CO,,DWR,Historic,1951,2017,323298.4,4159989.2,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1612&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DLFDT1CO,"(37.570001, -107.000876)",37.570001,-107.000876
3,20,MINERAL,CO,DON LA FONT DITCH NO. 2 AT PIEDRA PASS,DLFDT2CO,9347000,DWR,Active,1962,2017,323472.4,4159705.8,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1613&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DLFDT2CO,"(37.56749, -106.998853)",37.56749,-106.998853
7,71,MONTEZUMA,CO,DOLORES RIVER BELOW MCPHEE RESERVOIR,DOLBMCCO,,DWR,Active,1985,2018,184077.5,4164726.3,,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1614&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DOLBMCCO,"(37.575416, -108.577191)",37.575416,-108.577191
7,32,MONTEZUMA,CO,DOLORES TUNNEL OUTLET NEAR DOLORES,DOLTUNCO,,DWR,Active,1985,2018,186169.9,4151709.8,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1615&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DOLTUNCO,"(37.459036, -108.547989)",37.459036,-108.547989
1,5,BOULDER,CO,DRY CREEK TURNOUT NEAR NIWOT,DRYCRKCO,,DWR,Historic,1954,1999,482285.2,4436716.7,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1616&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=DRYCRKCO,"(40.080536, -105.207775)",40.080536,-105.207775
7,33,LA PLATA,CO,ENTERPRISE DITCH AT THE COLORADO-NEW MEXICO STATELINE,ENTDITCO,,DWR,Active,1991,2018,216178.1,4100695,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1617&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=ENTDITCO,"(37.009598, -108.189823)",37.009598,-108.189823
5,51,GRAND,CO,EUREKA DITCH,EURDITCO,9012000,DWR,Historic,1944,1996,438203.1,4465038,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1618&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=EURDITCO,"(40.333595, -105.727507)",40.333595,-105.727507
1,2,WELD,CO,EVANS #2 DITCH,EVANS2CO,,DWR,Active,1925,2018,515766.5,4442139,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1619&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=EVANS2CO,"(40.129434, -104.81496)",40.129434,-104.81496
7,30,LA PLATA,CO,FLORIDA RIVER ABOVE LEMON RESERVOIR NEAR DURANGO,FLOALECO,9362750,DWR,Active,1972,2018,263310.9,4145642.3,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1620&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=FLOALECO,"(37.427368, -107.674943)",37.427368,-107.674943
7,30,LA PLATA,CO,FLORIDA RIVER BELOW LEMON RESERVOIR,FLOBLECO,,DWR,Active,1972,2018,264299.5,4140363.3,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1621&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=FLOBLECO,"(37.380088, -107.662094)",37.380088,-107.662094
5,51,GRAND,CO,FRASER-JIM CREEK DITCH AT FLUME NEAR,FRAJDICO,,DWR,Historic,1938,1982,435231.7,4415420.8,User supplied,http://www.dwr.state.co.us/streamflow/StreamFlow.aspx?station_num=1622&sfType=StreamFlow&freq=Monthly&sTab=2&sValue=FRAJDICO,"(39.886376, -105.757511)",39.886376,-105.757511
