ce_annual_ndx,leak_detection_types
2022,Active use of Accounting methods to find leaks
2023,NO LEAK DETECTION TYPES SPECIFIED
2024,Active use of Accounting methods to find leaks
2024,Reactive approach to leak detection
2025,Reactive approach to leak detection
2025,Active use of Accounting methods to find leaks
2026,Active use of Field Testing methods to find leaks
2026,Reactive approach to leak detection
2026,Active use of Accounting methods to find leaks
2028,Active use of Field Testing methods to find leaks
2028,Reactive approach to leak detection
2028,Active use of Accounting methods to find leaks
2029,Active use of Accounting methods to find leaks
2029,Reactive approach to leak detection
2030,NO LEAK DETECTION TYPES SPECIFIED
2031,Active use of Accounting methods to find leaks
2031,Reactive approach to leak detection
2032,Active use of Field Testing methods to find leaks
2032,Reactive approach to leak detection
2032,Active use of Accounting methods to find leaks
2033,Reactive approach to leak detection
2033,Active use of Accounting methods to find leaks
2034,Other (specify)
2034,Active use of Accounting methods to find leaks
2034,Reactive approach to leak detection
2035,Reactive approach to leak detection
2035,Active use of Accounting methods to find leaks
2035,Active use of Field Testing methods to find leaks
2037,Active use of Accounting methods to find leaks
2037,Reactive approach to leak detection
2037,Active use of Field Testing methods to find leaks
2047,Reactive approach to leak detection
2047,Active use of Accounting methods to find leaks
2047,Active use of Field Testing methods to find leaks
2048,Reactive approach to leak detection
2048,Active use of Field Testing methods to find leaks
2048,Other (specify)
2049,Reactive approach to leak detection
2050,Active use of Field Testing methods to find leaks
2050,Reactive approach to leak detection
2050,Active use of Accounting methods to find leaks
2051,Active use of Field Testing methods to find leaks
2051,Active use of Accounting methods to find leaks
2051,Reactive approach to leak detection
2052,Reactive approach to leak detection
2053,Active use of Accounting methods to find leaks
2053,Reactive approach to leak detection
2054,Reactive approach to leak detection
2054,Active use of Accounting methods to find leaks
2054,Active use of Field Testing methods to find leaks
2056,Active use of Accounting methods to find leaks
2056,Reactive approach to leak detection
2056,Active use of Field Testing methods to find leaks
2057,Reactive approach to leak detection
2058,NO LEAK DETECTION TYPES SPECIFIED
2059,NO LEAK DETECTION TYPES SPECIFIED
2060,Active use of Field Testing methods to find leaks
2060,Active use of Accounting methods to find leaks
2061,Reactive approach to leak detection
2063,Reactive approach to leak detection
2064,Active use of Field Testing methods to find leaks
2064,Reactive approach to leak detection
2064,Active use of Accounting methods to find leaks
2065,NO LEAK DETECTION TYPES SPECIFIED
2066,Reactive approach to leak detection
2066,Active use of Accounting methods to find leaks
2066,Other (specify)
2067,NO LEAK DETECTION TYPES SPECIFIED
2068,NO LEAK DETECTION TYPES SPECIFIED
2069,Active use of Accounting methods to find leaks
2069,Active use of Field Testing methods to find leaks
2069,Reactive approach to leak detection
2070,Active use of Accounting methods to find leaks
2070,Reactive approach to leak detection
2071,Active use of Accounting methods to find leaks
2072,Reactive approach to leak detection
2073,Active use of Accounting methods to find leaks
2073,Reactive approach to leak detection
2073,Active use of Field Testing methods to find leaks
2074,Active use of Field Testing methods to find leaks
2074,Reactive approach to leak detection
2074,Active use of Accounting methods to find leaks
2075,Reactive approach to leak detection
2075,Active use of Accounting methods to find leaks
2075,Active use of Field Testing methods to find leaks
2076,Reactive approach to leak detection
2076,Active use of Field Testing methods to find leaks
2076,Active use of Accounting methods to find leaks
2077,Reactive approach to leak detection
2077,Active use of Field Testing methods to find leaks
2077,Active use of Accounting methods to find leaks
2078,Active use of Accounting methods to find leaks
2078,Reactive approach to leak detection
2079,Active use of Accounting methods to find leaks
2079,Reactive approach to leak detection
2080,Active use of Field Testing methods to find leaks
2080,Reactive approach to leak detection
2080,Active use of Accounting methods to find leaks
2081,Active use of Accounting methods to find leaks
2081,Reactive approach to leak detection
2081,Active use of Field Testing methods to find leaks
2082,NO LEAK DETECTION TYPES SPECIFIED
2085,Active use of Accounting methods to find leaks
2085,Active use of Field Testing methods to find leaks
2085,Reactive approach to leak detection
2086,Active use of Accounting methods to find leaks
2086,Active use of Field Testing methods to find leaks
2086,Reactive approach to leak detection
2087,Active use of Field Testing methods to find leaks
2087,Reactive approach to leak detection
2087,Active use of Accounting methods to find leaks
2088,Reactive approach to leak detection
2088,Active use of Field Testing methods to find leaks
2088,Active use of Accounting methods to find leaks
2089,Active use of Accounting methods to find leaks
2089,Reactive approach to leak detection
2091,Active use of Field Testing methods to find leaks
2091,Active use of Accounting methods to find leaks
2091,Reactive approach to leak detection
2092,Reactive approach to leak detection
2093,NO LEAK DETECTION TYPES SPECIFIED
2095,Other (specify)
2100,NO LEAK DETECTION TYPES SPECIFIED
2110,Active use of Field Testing methods to find leaks
2110,Reactive approach to leak detection
2110,Active use of Accounting methods to find leaks
2111,Reactive approach to leak detection
2111,Active use of Accounting methods to find leaks
2117,Active use of Accounting methods to find leaks
2118,Active use of Accounting methods to find leaks
2118,Active use of Field Testing methods to find leaks
2118,Reactive approach to leak detection
2119,NO LEAK DETECTION TYPES SPECIFIED
2120,Active use of Field Testing methods to find leaks
2121,Active use of Field Testing methods to find leaks
2121,Active use of Accounting methods to find leaks
2122,Reactive approach to leak detection
2122,Active use of Field Testing methods to find leaks
2123,Reactive approach to leak detection
2123,Active use of Field Testing methods to find leaks
2123,Active use of Accounting methods to find leaks
2124,Reactive approach to leak detection
2125,Active use of Field Testing methods to find leaks
2125,Other (specify)
2125,Reactive approach to leak detection
2126,Active use of Accounting methods to find leaks
2126,Reactive approach to leak detection
2126,Other (specify)
2127,NO LEAK DETECTION TYPES SPECIFIED
2128,Reactive approach to leak detection
2129,NO LEAK DETECTION TYPES SPECIFIED
2130,NO LEAK DETECTION TYPES SPECIFIED
2131,Active use of Accounting methods to find leaks
2132,Active use of Accounting methods to find leaks
2132,Active use of Field Testing methods to find leaks
2132,Reactive approach to leak detection
2133,Reactive approach to leak detection
2134,Active use of Field Testing methods to find leaks
2134,Active use of Accounting methods to find leaks
2134,Reactive approach to leak detection
2135,Reactive approach to leak detection
2136,Reactive approach to leak detection
2139,Reactive approach to leak detection
2139,Active use of Accounting methods to find leaks
2152,Reactive approach to leak detection
2153,NO LEAK DETECTION TYPES SPECIFIED
2154,Active use of Accounting methods to find leaks
2154,Reactive approach to leak detection
2155,Reactive approach to leak detection
2155,Active use of Accounting methods to find leaks
2156,Active use of Accounting methods to find leaks
2156,Reactive approach to leak detection
2157,Reactive approach to leak detection
2157,Active use of Accounting methods to find leaks
2157,Active use of Field Testing methods to find leaks
2158,Active use of Field Testing methods to find leaks
2158,Reactive approach to leak detection
2158,Active use of Accounting methods to find leaks
2159,Reactive approach to leak detection
2159,Active use of Accounting methods to find leaks
2159,Active use of Field Testing methods to find leaks
2161,Reactive approach to leak detection
2162,Reactive approach to leak detection
2162,Active use of Field Testing methods to find leaks
2162,Active use of Accounting methods to find leaks
2163,Active use of Field Testing methods to find leaks
2163,Active use of Accounting methods to find leaks
2163,Reactive approach to leak detection
2164,NO LEAK DETECTION TYPES SPECIFIED
2165,Other (specify)
2166,Other (specify)
2168,Reactive approach to leak detection
2169,Reactive approach to leak detection
2170,Reactive approach to leak detection
2171,Reactive approach to leak detection
2172,Active use of Field Testing methods to find leaks
2172,Active use of Accounting methods to find leaks
2172,Reactive approach to leak detection
2173,Active use of Field Testing methods to find leaks
2173,Reactive approach to leak detection
2173,Active use of Accounting methods to find leaks
2174,Active use of Accounting methods to find leaks
2174,Reactive approach to leak detection
2174,Active use of Field Testing methods to find leaks
2175,Active use of Field Testing methods to find leaks
2175,Reactive approach to leak detection
2176,NO LEAK DETECTION TYPES SPECIFIED
2177,NO LEAK DETECTION TYPES SPECIFIED
2178,NO LEAK DETECTION TYPES SPECIFIED
2179,Active use of Field Testing methods to find leaks
2179,Active use of Accounting methods to find leaks
2179,Reactive approach to leak detection
2181,Active use of Field Testing methods to find leaks
2181,Reactive approach to leak detection
2181,Active use of Accounting methods to find leaks
2182,Active use of Accounting methods to find leaks
2182,Reactive approach to leak detection
2182,Active use of Field Testing methods to find leaks
2184,Reactive approach to leak detection
2186,Reactive approach to leak detection
2187,Reactive approach to leak detection
2188,Active use of Accounting methods to find leaks
2188,Active use of Field Testing methods to find leaks
2188,Reactive approach to leak detection
2189,Reactive approach to leak detection
2190,Active use of Field Testing methods to find leaks
2190,Active use of Accounting methods to find leaks
2190,Reactive approach to leak detection
2191,Reactive approach to leak detection
2192,Active use of Field Testing methods to find leaks
2192,Reactive approach to leak detection
2193,Other (specify)
2194,Reactive approach to leak detection
2195,Active use of Field Testing methods to find leaks
2195,Reactive approach to leak detection
2196,Active use of Accounting methods to find leaks
2196,Reactive approach to leak detection
2196,Active use of Field Testing methods to find leaks
2197,Active use of Field Testing methods to find leaks
2198,NO LEAK DETECTION TYPES SPECIFIED
2199,Active use of Accounting methods to find leaks
2200,Reactive approach to leak detection
2200,Active use of Accounting methods to find leaks
2201,Active use of Field Testing methods to find leaks
2201,Other (specify)
2201,Reactive approach to leak detection
2204,Active use of Accounting methods to find leaks
2204,Reactive approach to leak detection
2204,Other (specify)
2205,Reactive approach to leak detection
2205,Active use of Field Testing methods to find leaks
2205,Active use of Accounting methods to find leaks
2206,Active use of Accounting methods to find leaks
2206,Reactive approach to leak detection
2207,Active use of Field Testing methods to find leaks
2207,Reactive approach to leak detection
2207,Active use of Accounting methods to find leaks
2208,Active use of Accounting methods to find leaks
2208,Reactive approach to leak detection
2209,Active use of Field Testing methods to find leaks
2209,Active use of Accounting methods to find leaks
2209,Reactive approach to leak detection
2210,Reactive approach to leak detection
2210,Active use of Accounting methods to find leaks
2210,Active use of Field Testing methods to find leaks
2212,Reactive approach to leak detection
2212,Active use of Accounting methods to find leaks
2213,Reactive approach to leak detection
2214,Active use of Accounting methods to find leaks
2214,Reactive approach to leak detection
2215,Active use of Field Testing methods to find leaks
2215,Reactive approach to leak detection
2215,Active use of Accounting methods to find leaks
2216,Reactive approach to leak detection
2217,Reactive approach to leak detection
2218,Reactive approach to leak detection
2219,Reactive approach to leak detection
2220,NO LEAK DETECTION TYPES SPECIFIED
2221,Reactive approach to leak detection
2221,Active use of Accounting methods to find leaks
2222,Active use of Accounting methods to find leaks
2222,Reactive approach to leak detection
2223,Reactive approach to leak detection
2223,Active use of Accounting methods to find leaks
2223,Active use of Field Testing methods to find leaks
2224,Active use of Accounting methods to find leaks
2224,Active use of Field Testing methods to find leaks
2224,Reactive approach to leak detection
2226,Active use of Accounting methods to find leaks
2226,Reactive approach to leak detection
2228,Active use of Field Testing methods to find leaks
2228,Active use of Accounting methods to find leaks
2228,Reactive approach to leak detection
2229,NO LEAK DETECTION TYPES SPECIFIED
2230,Reactive approach to leak detection
2230,Active use of Field Testing methods to find leaks
2231,Reactive approach to leak detection
2231,Active use of Field Testing methods to find leaks
2232,NO LEAK DETECTION TYPES SPECIFIED
