ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units,billumu,ubillau,apploss,realloss,calctotal,,325850.943,1
2136,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
2168,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
2169,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
2170,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
2171,1,Potable Treated,0,0,0,0,0,Gallons,0,0,0,0,0,,,
2175,1,Potable Treated,0,350000000,0,0,350000000,Gallons,0,350000,0,0,350000,,,
2191,1,Potable Treated,,,,,0,Gallons,0,0,0,0,0,,,
2229,1,Potable Treated,0,684592000,0,0,684592000,Gallons,0,684592,0,0,684592,,,
2016,2,Non-potable Raw,,,,,0,Gallons,0,0,0,0,0,,,
2058,2,Non-potable Raw,,,,,0,Gallons,0,0,0,0,0,,,
2175,2,Non-potable Raw,,,,,0,Gallons,0,0,0,0,0,,,
2191,2,Non-potable Raw,,,,,0,Gallons,0,0,0,0,0,,,
1952,2,Non-potable Raw,,,,,0,Gallons,0,0,0,0,0,,,
2200,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2210,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1916,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1929,1,Potable Treated,0,0,0,0,0,"Gallons, Millions",0,0,0,0,0,,,
1932,1,Potable Treated,0.1,0.1,0.1,34.751,35.051,"Gallons, Millions",100,100,100,34751,35051,,,
1934,1,Potable Treated,0,3.245,26.971,162.518,192.734,"Gallons, Millions",0,3245,26971,162518,192734,,,
1942,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1946,1,Potable Treated,0,0,281,0,281,"Gallons, Millions",0,0,281000,0,281000,,,
1954,1,Potable Treated,0,156.545,23.668,42.55,222.763,"Gallons, Millions",0,156545,23668,42550,222763,,,
1955,1,Potable Treated,0,26.339,26.781,29.81,82.93,"Gallons, Millions",0,26339,26781,29810,82930,,,
